name,meaning,gender
Aardiveer,Love,Girl
Shimaveer,Courage,Boy
Tamiraj,Energy,Boy
Hanan,Joy,Girl
Vayaesh,Energy,Boy
Chakaans,Grace,Boy
Zasaesh,Wisdom,Girl
Diriika,Grace,Boy
Aasaav,Blessing,Girl
Deruav,Harmony,Boy
Arnaya,Faith,Boy
Vikaav,Wisdom,Girl
Mapaav,Faith,Boy
Depaay,Energy,Boy
Taraansh,Love,Boy
Rimiraj,Strength,Boy
Delaa,Harmony,Girl
Pasaan,Joy,Boy
Praraya,Wisdom,Boy
Kayait,Energy,Girl
Javaya,Hope,Boy
Jayaya,Wisdom,Girl
Supaansh,Light,Girl
Adiviveer,Joy,Girl
Nakaita,Wisdom,Girl
Ishyaans,Love,Boy
Haraali,Faith,Boy
Sharuita,Victory,Boy
Prayaita,Energy,Girl
Aariav,Grace,Boy
Vadiansh,Grace,Boy
Anmiita,Faith,Girl
Adisaali,Peace,Girl
Denedev,Peace,Boy
Paviay,Harmony,Girl
Rashian,Light,Girl
Ripaay,Blessing,Girl
Dedijit,Peace,Boy
Omnaansh,Grace,Girl
Sunians,Joy,Girl
Arvaan,Energy,Girl
Avlan,Divine,Girl
Adinajit,Love,Girl
Aadiay,Harmony,Girl
Sanijit,Strength,Boy
Prataika,Prosperity,Boy
Ditaay,Harmony,Girl
Tamiveer,Grace,Girl
Anmian,Hope,Girl
Saripreet,Energy,Girl
Chaladeep,Light,Girl
Avtadeep,Energy,Boy
Gamiansh,Blessing,Girl
Arloansh,Energy,Boy
Malon,Wisdom,Girl
Shimijit,Joy,Girl
Bhmaans,Wisdom,Girl
Shivadev,Joy,Boy
Ishpadeep,Love,Boy
Ridiesh,Light,Girl
Shiviraj,Hope,Boy
Disaya,Blessing,Girl
Chataans,Hope,Boy
Marait,Energy,Boy
Dapaveer,Strength,Boy
Kimaali,Faith,Girl
Dimidev,Wisdom,Boy
Ramaraj,Energy,Girl
Haruika,Courage,Girl
Avnaika,Joy,Girl
Galadeep,Divine,Girl
Lapadeep,Prosperity,Boy
Sasapreet,Divine,Boy
Aditaav,Energy,Girl
Chalopreet,Victory,Boy
Aayaav,Victory,Boy
Laniesh,Harmony,Girl
Arvaraj,Peace,Boy
Yavaveer,Victory,Boy
Bakaansh,Hope,Girl
Shitadeep,Brilliance,Girl
Armijit,Brilliance,Boy
Arrin,Love,Girl
Aarniika,Wisdom,Boy
Vipaali,Faith,Girl
Anshiansh,Light,Boy
Tariay,Brilliance,Girl
Lavians,Peace,Girl
Chanejit,Grace,Girl
Avmajit,Strength,Girl
Radiali,Prosperity,Boy
Yavaan,Joy,Boy
Arkaesh,Love,Girl
Kidin,Kindness,Girl
Kiriita,Love,Boy
Ashneav,Strength,Girl
Hadiika,Victory,Girl
Shilapreet,Love,Boy
Sunedeep,Victory,Boy
Kiloans,Divine,Boy
Shamipreet,Courage,Girl
Arrideep,Divine,Girl
Aashiita,Victory,Boy
Aypaita,Wisdom,Girl
Ganadeep,Wisdom,Boy
Vavadev,Prosperity,Boy
Trivaesh,Brilliance,Girl
Sakapreet,Energy,Girl
Shisaa,Wisdom,Boy
Bhneika,Energy,Boy
Tariesh,Strength,Girl
Vataa,Hope,Girl
Bhneita,Grace,Girl
Narupreet,Grace,Girl
Anriya,Love,Boy
Ishtaika,Kindness,Girl
Galoveer,Strength,Boy
Aaniesh,Strength,Boy
Vamiita,Light,Boy
Divaali,Strength,Girl
Adirua,Wisdom,Girl
Anyapreet,Harmony,Boy
Kaniit,Love,Girl
Naraveer,Harmony,Boy
Nalodev,Victory,Girl
Shaneay,Joy,Girl
Deyaay,Courage,Girl
Ishnaika,Light,Boy
Aarnaraj,Faith,Boy
Tatait,Strength,Girl
Pradiita,Divine,Girl
Shanaans,Wisdom,Girl
Ashlon,Energy,Girl
Devadev,Strength,Girl
Ashpaika,Love,Boy
Ashloa,Brilliance,Boy
Ripaan,Joy,Girl
Rishiraj,Light,Boy
Adiripreet,Harmony,Boy
Demaav,Light,Girl
Ayrua,Courage,Boy
Bakapreet,Light,Girl
Vaviesh,Strength,Boy
Shitaveer,Brilliance,Boy
Yakaan,Hope,Girl
Anmaansh,Hope,Boy
Ayraita,Divine,Girl
Yamijit,Courage,Boy
Triviesh,Joy,Girl
Pariav,Joy,Boy
Pranen,Joy,Girl
Adiloan,Victory,Boy
Shinipreet,Harmony,Girl
Omlodev,Energy,Boy
Paloya,Strength,Girl
Ishruya,Brilliance,Boy
Avloit,Wisdom,Boy
Kimaraj,Blessing,Girl
Dalaans,Blessing,Girl
Navaita,Light,Girl
Naruans,Wisdom,Boy
Vakadev,Hope,Girl
Ishsaita,Brilliance,Boy
Ishneit,Love,Girl
Shiyajit,Prosperity,Girl
Makaay,Hope,Girl
Gakadeep,Grace,Boy
Gapaav,Strength,Girl
Rashiita,Energy,Girl
Avyaraj,Courage,Boy
Kirideep,Love,Boy
Banan,Hope,Girl
Vaneit,Brilliance,Boy
Laruansh,Energy,Girl
Banaraj,Light,Boy
Lalaa,Blessing,Boy
Kisaveer,Divine,Boy
Kaniit,Wisdom,Girl
Charuesh,Divine,Girl
Deneansh,Grace,Boy
Zanadeep,Strength,Boy
Radiika,Wisdom,Boy
Omman,Divine,Girl
Rivaraj,Hope,Girl
Avvaali,Wisdom,Boy
Sunaan,Light,Boy
Avnejit,Grace,Boy
Ashkaita,Hope,Boy
Dedian,Blessing,Boy
Nanin,Prosperity,Girl
Shididev,Love,Girl
Shakan,Energy,Girl
Kadiika,Victory,Girl
Lariansh,Energy,Boy
Hasait,Prosperity,Girl
Omtaraj,Joy,Boy
Arshiit,Divine,Girl
Janaali,Brilliance,Boy
Sataansh,Grace,Girl
Adishipreet,Grace,Girl
Pavan,Harmony,Girl
Taruita,Joy,Girl
Tayadeep,Harmony,Boy
Avmaansh,Joy,Girl
Shimaya,Energy,Girl
Omraveer,Kindness,Girl
Papapreet,Grace,Girl
Zaladev,Light,Boy
Tavaveer,Victory,Boy
Gapan,Light,Girl
Ishyaraj,Light,Girl
Lashiya,Wisdom,Girl
Shirait,Kindness,Girl
Lataans,Wisdom,Girl
Sasaya,Kindness,Girl
Gapait,Divine,Girl
Maman,Victory,Boy
Shilaraj,Light,Boy
Shaladev,Kindness,Boy
Bhnaita,Brilliance,Boy
Dishiali,Energy,Boy
Omshia,Peace,Boy
Deloay,Faith,Girl
Shiloay,Faith,Girl
Vamaesh,Strength,Boy
Hashian,Brilliance,Girl
Sataans,Grace,Girl
Lasaa,Victory,Boy
Avridev,Wisdom,Girl
Avpaali,Courage,Boy
Arvaa,Harmony,Boy
Jashiit,Courage,Boy
Hadideep,Love,Girl
Lakaraj,Peace,Boy
Ommaesh,Strength,Boy
Karun,Blessing,Boy
Bhlapreet,Love,Girl
Garuesh,Divine,Boy
Zanian,Strength,Girl
Aarrajit,Victory,Girl
Devaansh,Strength,Girl
Kalaans,Victory,Girl
Zanea,Wisdom,Girl
Aaruesh,Grace,Boy
Divian,Love,Boy
Kaniesh,Light,Girl
Karaav,Blessing,Boy
Ishsaali,Joy,Boy
Zamiya,Faith,Girl
Desaveer,Victory,Boy
Galodeep,Faith,Girl
Trimaita,Prosperity,Girl
Karaali,Hope,Boy
Namiesh,Love,Boy
Paruali,Victory,Girl
Shalan,Divine,Girl
Gariita,Faith,Boy
Pratan,Faith,Girl
Arsaika,Light,Girl
Arruali,Divine,Girl
Lakaans,Divine,Girl
Kadipreet,Faith,Girl
Chamaansh,Joy,Girl
Diloesh,Brilliance,Girl
Trirupreet,Courage,Boy
Laneveer,Kindness,Girl
Aapaans,Peace,Boy
Bariita,Harmony,Boy
Tavaesh,Victory,Girl
Adimideep,Kindness,Girl
Adineans,Love,Boy
Dakait,Hope,Girl
Mapaan,Wisdom,Boy
Arshiveer,Prosperity,Boy
Tamaay,Kindness,Girl
Triloansh,Blessing,Boy
Samiika,Strength,Boy
Trimipreet,Brilliance,Girl
Chamians,Courage,Girl
Zaradev,Joy,Boy
Hakaan,Courage,Boy
Haloraj,Energy,Boy
Aditaesh,Divine,Boy
Shasaans,Peace,Boy
Andin,Energy,Girl
Tavadev,Courage,Boy
Nalopreet,Victory,Boy
Vinait,Joy,Boy
Zalaali,Courage,Boy
Vikaveer,Victory,Boy
Ashpaika,Blessing,Boy
Zaraika,Peace,Boy
Ankaita,Harmony,Girl
Taneita,Grace,Girl
Ayyaali,Harmony,Boy
Yavaa,Light,Girl
Kipait,Light,Girl
Omshian,Harmony,Girl
