Name,Gender,Meaning
Abbi,Female,(Hebrew) familiar forms of Abigail.
Abbia,Female,(Arabic) great.
Abbiah,Female,(Arabic) great.
Abbie,Female,(Hebrew) familiar forms of Abigail.
Abbiegail,Female,(Hebrew) father’s joy.
Abbiegayle,Female,(Hebrew) father’s joy.
Abbigael,Female,(Hebrew) forms of Abigail.
Abbigail,Female,(Hebrew) forms of Abigail.
Abbigal,Female,(Hebrew) forms of Abigail.
Abbigale,Female,(Hebrew) forms of Abigail.
Abbigayl,Female,(Hebrew) forms of Abigail.
Abbigayle,Female,(Hebrew) forms of Abigail.
Abbin,Male,(Latin) white.
Abbine,Male,(Latin) white.
Abbira,Female,(Hebrew) my strength.
Abboid,,
Abbon,Male,(Latin) white.
Abbot,,
Abbott,Male,(Hebrew) father; abbot.
Abbrienna,Female,(Italian) forms of Abra.
Abbryana,Female,(Italian) forms of Abra.
Abbud,Male,(Arabic) devoted.
Abby,Female,(Hebrew) familiar forms of Abigail.
Abbye,Female,(Greek) tint of the sky at sunrise.
Abbygael,Female,(Hebrew) forms of Abigail.
Abbygail,Female,(Hebrew) forms of Abigail.
Abbygale,Female,(Hebrew) forms of Abigail.
Abbygayl,Female,(Hebrew) forms of Abigail.
Abbygayle,Female,(Hebrew) forms of Abigail.
Abda,Male,(Hebrew) servant of God.
Abdal,Male,(Arabic) servant.
Abdala,Male,(Arabic) servant of Allah.
Abdalah,Male,(Arabic) servant of Allah.
Abdalla,Male,(Arabic) servant of Allah.
Abdallah,Male,(Arabic) servant of Allah.
Abdalongo,Male,(Hebrew) servant of Elon.
Abdecalas,Male,(Hebrew) server of a dog.
Abdeel,Male,(Arabic) servant.
Abdel,Male,(Arabic) servant.
Abdela,Male,(Arabic) servant of Allah.
Abdelazim,Male,(Arabic) servant of the Mighty.
Abdelaziz,Male,(Arabic) servant of the Mighty.
Abdelrahim,Male,(Arabic) servant of the Merciful.
Abdelrahman,Male,(Arabic) servant of the Merciful.
Abderico,Male,(Hebrew) rich and powerful servant.
Abdi,Male,(African) my servant.
Abdiel,Male,(Hebrew) I serve God.
Abdikarim,Male,(Somali) slave of God.
Abdirahman,Male,(Arabic) a form of Abdulrahman.
Abdiraxman,Male,(Somali) servant of divine grace.
Abdolrahem,Male,(Arabic) servant of the Merciful.
Abdoul,Male,(Arabic) servant.
Abdual,Male,(Arabic) servant.
Abduala,Male,(Arabic) servant of Allah.
Abdualla,Male,(Arabic) servant of Allah.
Abduallah,Male,(Arabic) servant of Allah.
Abdul,Male,(Arabic) servant.
Abdula,Male,(Arabic) servant of Allah.
Abdulah,Male,(Arabic) servant of Allah.
Abdulahi,Male,(Arabic) servant of Allah.
Abdularahman,Male,(Arabic) servant of the Merciful.
Abdulazaz,Male,(Arabic) servant of the Mighty.
Abdulazeez,Male,(Arabic) servant of the Mighty.
Abdulaziz,Male,(Arabic) servant of the Mighty.
Abdulha,Male,(Arabic) servant of Allah.
Abdull,Male,(Arabic) servant.
Abdulla,Male,(Arabic) servant of Allah.
Abdullah,Male,(Arabic) servant of Allah.
Abdullahi,Male,(Arabic) a form of Adullah.
Abdulmalik,Male,(Arabic) servant of the Master.
Abdulrahman,Male,(Arabic) servant of the Merciful.
Abdurrahman,Male,(Arabic) servant of the Merciful.
Abdurram,Male,(Arabic) servant of the Merciful.
Abe,Male,"(Hebrew) a short form of Abel, Abraham."
Abea,Female,(Greek) tint of the sky at sunrise.
Abebe,Male,"(Amharic) one who has flourished, thrived."
Abedah,Female,(Arabic) worshiper.
Abee,Both,(Greek) tint of the sky at sunrise.
Abeer,Female,(Hebrew) a short form of Abira.
Abeerah,Female,(Hebrew) my strength.
Abeey,Female,(Greek) tint of the sky at sunrise.
Abegael,Female,(Hebrew) a form of Abigail.
Abegail,Female,(Hebrew) a form of Abigail.
Abegaile,Female,(Hebrew) a form of Abigail.
Abegale,Female,(Hebrew) a form of Abigail.
Abegayle,Female,(Hebrew) a form of Abigail.
Abeir,Female,(Hebrew) a short form of Abira.
Abel,Male,(Hebrew) breath.
Abelard,Male,(German) noble; resolute.
Abelarda,Female,(Arabic) servant of Allah.
Abelarde,Male,(German) noble; resolute.
Abelardo,Male,(Spanish) a form of Abelard.
Abele,Male,(Hebrew) breath.
Abelhard,Male,(German) noble; resolute.
Abelina,Female,(American) a combination of Abbey + Lina.
Abell,Male,(Hebrew) breath.
Abena,Female,(Akan) born on Tuesday.
Abenaa,Female,(American) a form of Abiann.
Abenah,Female,(Akan) born on Tuesday.
Abenaya,Female,(American) a form of Abiann.
Abeni,Female,(Akan) born on Tuesday.
Abera,Female,(Hebrew) my strength.
Aberah,Female,(Hebrew) my strength.
Abercio,Male,(Greek) first son.
Aberfa,Female,(Welsh) one who comes from the mouth of the river.
Aberham,Male,(Hebrew) father of many nations.
Abern,Both,(Latin) reddish brown.
Abernathie,Male,(Scottish) river’s beginning.
Aberne,Both,(Latin) reddish brown.
Abernethi,Male,(Scottish) river’s beginning.
Abernethy,Male,(Scottish) river’s beginning.
Abertha,Female,(Welsh) to sacrifice.
Abey,Both,(Greek) tint of the sky at sunrise.
Abgail,Female,(Hebrew) father’s joy.
Abgale,Female,(Hebrew) father’s joy.
Abgayle,Female,(Hebrew) father’s joy.
Abheer,Male,(Indian) cowherd.
Abhira,Female,(Hebrew) my strength.
Abhiram,Male,(Hebrew) father of many nations.
Abi,Male,(Turkish) older brother.
Abia,Female,(Arabic) great.
Abiah,Male,(Hebrew) God is my father.
Abiann,Female,(American) combinations of Abbey + Ann.
Abianne,Female,(American) combinations of Abbey + Ann.
Abibo,Male,(Hebrew) beloved.
Abida,Female,(Arabic) worshiper.
Abidah,Female,(Arabic) worshiper.
Abidan,Male,(Hebrew) father of judgment.
Abiden,Male,(Hebrew) father of judgment.
Abidin,Male,(Hebrew) father of judgment.
Abidon,Male,(Hebrew) father of judgment.
Abie,Male,(Hebrew) a familiar form of Abraham.
Abiel,Male,(Hebrew) a form of Abiah.
Abigael,Female,(Hebrew) forms of Abigail.
Abigail,Female,(Hebrew) father’s joy.
Abigaile,Female,(Hebrew) father’s joy.
Abigaill,Female,(Hebrew) father’s joy.
Abigal,Female,(Hebrew) father’s joy.
Abigale,Female,(Hebrew) father’s joy.
Abigayil,Female,(Hebrew) father’s joy.
Abigayl,Female,(Hebrew) father’s joy.
Abigayle,Female,(Hebrew) forms of Abigail.
Abigel,Female,(Hebrew) father’s joy.
Abigial,Female,(Hebrew) father’s joy.
Abiir,Female,(Hebrew) a short form of Abira.
Abija,Male,(Hebrew) God is my father.
Abijah,Male,(Hebrew) God is my father.
Abilana,Female,(American) a combination of Abbey + Lina.
Abilard,Male,(German) noble; resolute.
Abilene,Female,(American) a combination of Abbey + Lina.
Abilio,Male,(Latin) expert; able.
Abimael,Male,(Hebrew) my father is God.
Abina,Female,(Akan) born on Tuesday.
Abinaa,Female,(American) a form of Abiann.
Abinah,Female,(Akan) born on Tuesday.
Abinaiya,Female,(American) a form of Abiann.
Abinaya,Female,(American) a form of Abiann.
Abinayan,Female,(American) a form of Abiann.
Abir,Male,(Hebrew) strong.
Abira,Female,(Hebrew) my strength.
Abirah,Female,(Hebrew) my strength.
Abiram,Both,(Hebrew) my father is great.
Abirn,Both,(Latin) reddish brown.
Abirne,Both,(Latin) reddish brown.
Abisha,Male,(Hebrew) gift of God.
Abishai,Male,(Hebrew) gift of God.
Abishal,Male,(Hebrew) gift of God.
Able,Male,(Hebrew) breath.
Ableberto,Male,(Germanic) brilliant strength.
Abner,Male,(Hebrew) father of light.
Abo,Male,(Hebrew) father.
Abonee,Female,"(Greek) a hard, dark wood."
Abony,Female,"(Greek) a hard, dark wood."
Abot,,
Abott,,
Abra,Female,(Hebrew) mother of many nations.
Abraam,Male,(Hebrew) a form of Abraham.
Abrafo,Male,(Ghanaian) warrior.
Abrah,Female,(Hebrew) mother of many nations.
Abrahaim,Male,(Hebrew) father of many nations.
Abraham,Male,(Hebrew) father of many nations.
Abrahame,Male,(Hebrew) father of many nations.
Abrahamo,Male,(Hebrew) father of many nations.
Abrahan,Male,(Spanish) a form of Abraham.
Abraheem,Male,(Hebrew) father of many nations.
Abrahem,Male,(Hebrew) father of many nations.
Abrahim,Male,(Hebrew) father of many nations.
Abrahin,,
Abrahm,Male,(Hebrew) father of many nations.
Abrahon,,
Abrail,Female,"(French) open; secure, protected."
Abram,Male,(Hebrew) a short form of Abraham.
Abrama,Male,(Hebrew) a short form of Abraham.
Abramo,Male,(Hebrew) a short form of Abraham.
Abrams,Male,(Hebrew) a short form of Abraham.
Abranna,Female,(Italian) forms of Abra.
Abrannah,Female,(Italian) forms of Abra.
Abrao,Male,(Hebrew) father of many nations.
Abrea,,
Abreal,Female,"(French) open; secure, protected."
Abreale,Female,"(French) open; secure, protected."
Abreana,Female,(Italian) forms of Abra.
Abreanna,Female,(Italian) forms of Abra.
Abreanne,Female,(Italian) forms of Abra.
Abree,Female,(Hebrew) mother of many nations.
Abreeana,Female,(Italian) forms of Abra.
Abreia,,
Abreona,Female,(Italian) forms of Abra.
Abreonia,Female,(Italian) forms of Abra.
Abri,Female,(Hebrew) mother of many nations.
Abria,Female,(Hebrew) a form of Abra.
Abriah,,
Abrial,Female,"(French) open; secure, protected."
Abriale,Female,"(French) open; secure, protected."
Abriana,Female,(Italian) forms of Abra.
Abrianah,Female,(Italian) forms of Abra.
Abriania,Female,(Italian) forms of Abra.
Abrianiah,Female,(Italian) forms of Abra.
Abriann,Female,(Italian) forms of Abra.
Abrianna,Female,(Italian) forms of Abra.
Abriannah,Female,(Italian) forms of Abra.
Abrieana,Female,(Italian) forms of Abra.
Abriel,Female,(French) a form of Abrial.
Abriela,Female,(French) a form of Abrial.
Abriell,Female,(French) a form of Abrial.
Abrielle,Female,(French) a form of Abrial.
Abrien,Female,(Italian) forms of Abra.
Abrienda,Female,(Spanish) opening.
Abrienna,Female,(Italian) forms of Abra.
Abrienne,Female,(Italian) forms of Abra.
Abrietta,,
Abril,Female,(French) a form of Abrial.
Abrilla,Female,(French) a form of Abrial.
Abrille,Female,(French) a form of Abrial.
Abrion,,
Abrionne,,
Abriunna,,
Abrya,,
Abryah,,
Abryan,,
Abryana,,
Abryanah,,
Abryann,,
Abryanna,,
Abryannah,Female,(Italian) forms of Abra.
Abryanne,Female,(Italian) forms of Abra.
Abryele,Female,(French) a form of Abrial.
Abryell,Female,(French) a form of Abrial.
Abryella,Female,(French) a form of Abrial.
Abryelle,Female,(French) a form of Abrial.
Abryona,Female,(Italian) forms of Abra.
Absalaam,Male,(Hebrew) a short form of Abraham.
Absalon,Male,(Hebrew) a short form of Abraham.
Abselon,Male,(Hebrew) a short form of Abraham.
Absolam,Male,(Hebrew) a short form of Abraham.
Absolom,Male,(Hebrew) a short form of Abraham.
Absolum,Male,(Hebrew) a short form of Abraham.
Abubakar,Male,(Egyptian) noble.
Abudemio,Male,"(Latin) one who speaks in a sweet, refined way."
Abugail,Female,(Hebrew) father’s joy.
Abul,Male,(Arabic) servant.
Abundancio,Male,"(Latin) rich, affluent."
Abundia,Female,(Latin) abundance.
Abundio,Male,(Latin) he who has a lot of property.
Aburn,Both,(Latin) reddish brown.
Aburne,Both,(Latin) reddish brown.
Aby,Both,(Greek) tint of the sky at sunrise.
Abya,Female,(Arabic) great.
Abydan,Male,(Hebrew) father of judgment.
Abyden,Male,(Hebrew) father of judgment.
Abydin,Male,(Hebrew) father of judgment.
Abydon,Male,(Hebrew) father of judgment.
Abydyn,Male,(Hebrew) father of judgment.
Abygael,Female,(Hebrew) forms of Abigail.
Abygail,Female,(Hebrew) forms of Abigail.
Abygaile,Female,(Hebrew) forms of Abigail.
Abygale,Female,(Hebrew) forms of Abigail.
Abygayl,Female,(Hebrew) forms of Abigail.
Abygayle,Female,(Hebrew) forms of Abigail.
Abyna,Female,(Akan) born on Tuesday.
Abynah,Female,(Akan) born on Tuesday.
Abyra,Female,(Hebrew) my strength.
Abyrah,Female,(Hebrew) my strength.
Abyrn,Both,(Latin) reddish brown.
Abyrne,Both,(Latin) reddish brown.
Abysha,Male,(Hebrew) gift of God.
Abyshah,Male,(Hebrew) gift of God.
Acab,Male,(Hebrew) uncle.
Acaciah,Female,(Latin) abundance.
Acacio,Male,(Greek) honorable.
Acacitlu,Female,(Nahuatl) rabbit of the water.
Acacya,Female,(Latin) abundance.
Acacyah,Female,(Latin) abundance.
Acalia,Female,"(Latin) Mythology: another name for Acca Larentia, the adoptive mother of Romulus and Remus."
Acapana,Male,"(Quechua) lightning; swirl of wind, small hurricane."
Acar,Male,(Turkish) bright.
Acario,Male,(Greek) without grace.
Acasha,Female,(Latin) abundance.
Acatia,Female,(Latin) abundance.
Acayo,Male,(Greek) out of step; ill-timed.
Accas,Male,(Hebrew) winding.
Accassia,Female,(Latin) abundance.
Accerlee,Male,(English) meadow of oak trees.
Accerleigh,Male,(English) meadow of oak trees.
Accerley,Male,(English) meadow of oak trees.
Ace,Male,(Latin) unity.
Acel,Male,(French) nobility.
Acer,Male,(Latin) unity.
Acesto,Male,(Greek) one who can fix; useful.
Acey,Both,(Latin) abundance.
Achachic,Male,(Aymara) ancestor; grandfather.
Achante,Both,(Swahili) from a tribe in West Africa.
Achanti,Both,(Swahili) from a tribe in West Africa.
Acharya,Male,(Indian) teacher.
Achcauhtli,Both,(Nahuatl) leader.
Achic,Male,"(Quechua) luminous, resplendent."
Achil,Male,"(Quechua) luminous, resplendent."
Achila,Female,(Greek) a form of Achilles (see Boys’ Names).
Achilah,Female,(Greek) a form of Achilles (see Boys’ Names).
Achill,Male,"(Quechua) luminous, resplendent."
Achilla,Female,(Greek) a form of Achilles (see Boys’ Names).
Achillah,Female,(Greek) a form of Achilles (see Boys’ Names).
Achille,Male,"(Quechua) luminous, resplendent."
Achillea,Male,"(Quechua) luminous, resplendent."
Achilleus,Male,"(Quechua) luminous, resplendent."
Achillios,Male,"(Quechua) luminous, resplendent."
Achim,Male,(Hebrew) a short form of Joachim.
Achmad,Male,(Arabic) most highly praised.
Achmed,Male,(Swahili) praiseworthy.
Achyl,Male,"(Quechua) luminous, resplendent."
Achyla,Female,(Greek) a form of Achilles (see Boys’ Names).
Achylah,Female,(Greek) a form of Achilles (see Boys’ Names).
Achyll,Male,"(Quechua) luminous, resplendent."
Achylla,Female,(Greek) a form of Achilles (see Boys’ Names).
Achyllah,Female,(Greek) a form of Achilles (see Boys’ Names).
Achylle,Male,"(Quechua) luminous, resplendent."
Achylleus,Male,"(Quechua) luminous, resplendent."
Achym,Male,(Hebrew) a short form of Joachim.
Acie,Both,(Latin) abundance.
Acilino,Male,(Spanish) sharp.
Acima,Female,(Illyrian) praised by God.
Acimah,Female,(Illyrian) praised by God.
Acindina,Female,(Greek) safe.
Acindino,Male,"(Greek) out of danger, safe."
Acisclo,Male,(Latin) a pick used to work on rocks.
Ackeem,Male,(Hebrew) a short form of Joachim.
Ackerlea,Male,(English) meadow of oak trees.
Ackerlee,Male,(English) meadow of oak trees.
Ackerleigh,Male,(English) meadow of oak trees.
Ackerley,Male,(English) meadow of oak trees.
Ackerli,Male,(English) meadow of oak trees.
Ackerlie,Male,(English) meadow of oak trees.
Ackersley,Male,(English) meadow of oak trees.
Ackim,Male,(Hebrew) a short form of Joachim.
Ackime,Male,(Hebrew) a short form of Joachim.
Acklea,Male,(English) a form of Ackerley.
Acklee,Male,(English) a form of Ackerley.
Ackleigh,Male,(English) a form of Ackerley.
Ackley,Male,(English) a form of Ackerley.
Ackli,Male,(English) a form of Ackerley.
Acklie,Male,(English) a form of Ackerley.
Ackly,Male,(English) a form of Ackerley.
Ackym,Male,(Hebrew) a short form of Joachim.
Ackyme,Male,(Hebrew) a short form of Joachim.
Aconcauac,Male,(Quechua) stone sentinel.
Acquilina,Female,(Greek) a form of Aquilla.
Acquilla,Both,"(Latin, Spanish) eagle."
Actan,Male,(English) oak-tree settlement.
Actavia,Female,(Latin) eighth.
Acten,Male,(English) oak-tree settlement.
Actin,Male,(English) oak-tree settlement.
Acton,Male,(English) oak-tree settlement.
Actun,Male,(English) oak-tree settlement.
Actyn,Male,(English) oak-tree settlement.
Acucio,Male,(Latin) sharp; shrewd.
Acursio,Male,(Latin) he who heads toward God.
Acyma,Female,(Illyrian) praised by God.
Acymah,Female,(Illyrian) praised by God.
Ad,Male,(Hebrew) my ornament.
Ada,Female,(German) a short form of Adelaide.
Adabaldo,Male,(German) noble and bold.
Adabella,Female,(Spanish) a combination of Ada and Bella.
Adabelle,Female,(German) a short form of Adelaide.
Adacio,Male,(Latin) determined; active.
Adael,Male,(Hebrew) eternity of God.
Adah,Female,(Hebrew) ornament.
Adahy,Male,(Cherokee) in the woods.
Adaija,Female,(American) a form of Ada.
Adaijah,Female,(American) a form of Ada.
Adaira,,
Adairah,,
Adaire,Both,(Greek) a form of Adara.
Adaja,Female,(American) a form of Ada.
Adajah,Female,(American) a form of Ada.
Adal,Both,"(German, Spanish) noble."
Adala,Female,"(German, Spanish) noble."
Adalah,Female,"(German, Spanish) noble."
Adalaid,Female,(German) noble and serene.
Adalaide,Female,(German) noble and serene.
Adalane,Female,(Spanish) a form of Adalia.
Adalar,Male,(German) noble; courageous.
Adalard,Male,(German) noble; courageous.
Adalarde,Male,(German) noble; courageous.
Adalayd,Female,(German) noble and serene.
Adalayde,Female,(German) noble and serene.
Adalbaro,Male,(Greek) the combatant of nobility.
Adalbergo,Male,(German) village.
Adalcira,Female,(Spanish) a combination of Ada and Alcira.
Adalea,Female,"(German, Spanish) noble."
Adaleah,Female,"(German, Spanish) noble."
Adalee,Female,"(German, Spanish) noble."
Adalena,Female,(Spanish) a form of Adalia.
Adalene,Female,(Spanish) a form of Adalia.
Adalgisa,Female,(German) noble hostage.
Adalgiso,Male,(Greek) the lance of nobility.
Adalhardo,Male,(Scandinavian) noble and strong.
Adali,Female,"(German, Spanish) noble."
Adalia,Female,"(German, Spanish) noble."
Adaliah,Female,"(German, Spanish) noble."
Adalie,Female,"(German, Spanish) noble."
Adalin,Female,(Spanish) a form of Adalia.
Adalina,Female,(Spanish) a form of Adalia.
Adaline,Female,(Spanish) a form of Adalia.
Adalinn,Female,(Spanish) a form of Adalia.
Adall,Female,"(German, Spanish) noble."
Adalla,Female,"(German, Spanish) noble."
Adalle,Female,"(German, Spanish) noble."
Adallia,Female,"(German, Spanish) noble."
Adalliah,Female,"(German, Spanish) noble."
Adallya,Female,"(German, Spanish) noble."
Adallyah,Female,"(German, Spanish) noble."
Adalric,Male,(German) noble ruler.
Adalrico,Male,(Greek) noble chief of his lineage.
Adalsinda,Female,(German) noble strength.
Adaluz,Female,(Spanish) a combination of Ada and Luz.
Adalvino,Male,(Greek) the lance of nobility.
Adaly,Female,"(German, Spanish) noble."
Adalya,Female,"(German, Spanish) noble."
Adalyah,Female,"(German, Spanish) noble."
Adalyn,Female,(Spanish) a form of Adalia.
Adalynn,Female,(Spanish) a form of Adalia.
Adalynne,Female,(Spanish) a form of Adalia.
Adam,Male,(Phoenician) man; mankind.
Adama,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamah,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamec,Male,(Czech) a form of Adam.
Adamek,Male,(Czech) a form of Adam.
Adamia,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamiah,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamik,Male,(Czech) a form of Adam.
Adamina,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adaminah,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamka,Male,(Czech) a form of Adam.
Adamko,Male,(Czech) a form of Adam.
Adamma,Female,(Ibo) child of beauty.
Adamo,,
Adamok,Male,(Czech) a form of Adam.
Adams,Male,(Hebrew) son of Adam.
Adamson,Male,(Hebrew) son of Adam.
Adamsson,Male,(Hebrew) son of Adam.
Adamya,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamyah,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamyna,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamynah,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adamyne,Female,"(Phoenician, Hebrew) a form of Adam (see Boys’ Names)."
Adan,Male,(Irish) a form of Aidan.
Adana,Female,(Spanish) a form of Adama.
Adanah,Female,(Spanish) a form of Adama.
Adania,Female,(Spanish) a form of Adama.
Adaniah,Female,(Spanish) a form of Adama.
Adanna,Female,(Nigerian) her father’s daughter.
Adanya,Female,(Spanish) a form of Adama.
Adaora,,
Adar,Both,(Syrian) ruler.
Adara,Female,(Greek) beauty.
Adarah,,
Adare,Both,(Greek) a form of Adara.
Adareus,Male,(American) a combination of Adam + Darius.
Adaria,,
Adarian,Male,(Indo-Pakistani) rock.
Adarias,Male,(American) a combination of Adam + Darius.
Adarius,Male,(American) a combination of Adam + Darius.
Adarra,,
Adarrius,Male,(American) a combination of Adam + Darius.
Adarro,Male,(American) a combination of Adam + Darius.
Adarruis,Male,(American) a combination of Adam + Darius.
Adaruis,Male,(American) a combination of Adam + Darius.
Adas,,
Adasha,,
Adaucto,Male,(Latin) increase.
Adauris,Male,(American) a combination of Adam + Darius.
Adauto,Male,(Roman) increased.
Adawna,Female,(Latin) beautiful sunrise.
Aday,Female,"(Greek, German) a familiar form of Adelaide, Adrienne."
